Quadrado mágico imperfeito.
Reading 4386.750000 ms.
R 44.923000 ms.
C 147.367004 ms.
Reading 4381.845215 ms.
R 44.924000 ms.
C 147.149002 ms.
D 0.000000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 5084.720215 ms.
e 702.875000 ms.
T 0.000000 ms.
E 5081.716797 ms.
e 694.966797 ms.
Reading 4382.387207 ms.
R 44.923000 ms.
C 147.029999 ms.
D 0.275000 ms.
T 0.000000 ms.
E 5088.198242 ms.
e 705.811035 ms.
Reading 4398.028809 ms.
R 44.924000 ms.
C 147.207001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 5084.702148 ms.
e 686.673340 ms.
