Quadrado mágico.
Reading 11728.592773 ms.
R 72.296997 ms.
C 232.442001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 12545.105469 ms.
e 816.512695 ms.
Reading 11717.334961 ms.
R 72.299011 ms.
C 232.524994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 12534.027344 ms.
e 816.692383 ms.
Reading 11731.398438 ms.
R 72.296997 ms.
C 232.289001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 12549.376953 ms.
e 817.978516 ms.
Reading 11734.387695 ms.
R 72.296997 ms.
C 216.106995 ms.
D 0.365000 ms.
T 0.000000 ms.
E 12552.948242 ms.
e 818.560547 ms.
