Quadrado mágico.
R 56.804001 ms.
C 259.080017 ms.
D 0.415000 ms.
T 0.000000 ms.
E 10917.539062 ms.
e 799.905273 ms.
R 56.804001 ms.
C 239.122986 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10910.981445 ms.
e 805.593750 ms.
R 56.804001 ms.
C 259.068970 ms.
D 0.000000 ms.
T 0.000000 ms.
R 56.804001 ms.
C 259.190002 ms.
E 10911.103516 ms.
e 827.288086 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10914.478516 ms.
e 815.860352 ms.
Quadrado mágico.
R 56.841999 ms.
C 239.632004 ms.
D 0.305000 ms.
T 0.000000 ms.
E 10955.742188 ms.
e 798.320312 ms.
R 56.841999 ms.
C 250.460999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10950.322266 ms.
e 823.318359 ms.
R 56.834999 ms.
C 250.567993 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10951.511719 ms.
e 821.901367 ms.
R 56.841999 ms.
C 250.582001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10955.407227 ms.
e 808.880859 ms.
Quadrado mágico.
R 57.792000 ms.
C 286.549988 ms.
D 0.375000 ms.
T 0.000000 ms.
E 10968.220703 ms.
e 852.993164 ms.
R 57.792000 ms.
C 278.054993 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10965.478516 ms.
e 817.176758 ms.
R 57.792000 ms.
C 286.687012 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10964.074219 ms.
e 826.366211 ms.
R 57.792000 ms.
C 270.066986 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10963.511719 ms.
e 846.465820 ms.
Quadrado mágico.
R 57.037998 ms.
C 256.566986 ms.
D 0.000000 ms.
R 57.037998 ms.
C 256.494995 ms.
D 0.370000 ms.
T 0.000000 ms.
E 10945.365234 ms.
e 824.352539 ms.
T 0.000000 ms.
E 10942.523438 ms.
e 824.482422 ms.
R 57.037998 ms.
C 247.358002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10941.285156 ms.
e 820.210938 ms.
R 57.039001 ms.
C 256.589996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10941.313477 ms.
e 825.607422 ms.
Quadrado mágico.
R 57.619019 ms.
C 242.356995 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10924.411133 ms.
e 803.537109 ms.
R 57.617981 ms.
C 255.492996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10927.781250 ms.
e 822.311523 ms.
R 57.617981 ms.
C 255.339005 ms.
D 0.353000 ms.
T 0.000000 ms.
E 10931.380859 ms.
R 57.619019 ms.
C 255.348007 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10924.916016 ms.
e 812.722656 ms.
e 825.058594 ms.
Quadrado mágico.
R 56.479000 ms.
C 261.724976 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10912.498047 ms.
e 807.830078 ms.
R 56.479000 ms.
C 250.578979 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10909.749023 ms.
e 790.476562 ms.
R 56.479000 ms.
C 261.757019 ms.
D 0.305000 ms.
T 0.000000 ms.
E 10915.778320 ms.
e 806.191406 ms.
R 56.479000 ms.
C 261.661011 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10910.431641 ms.
e 824.066406 ms.
Quadrado mágico.
R 57.456001 ms.
C 200.334000 ms.
D 0.000000 ms.
R 57.457001 ms.
C 200.315994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10875.466797 ms.
e 754.780273 ms.
T 0.000000 ms.
E 10877.845703 ms.
e 775.326172 ms.
R 57.456001 ms.
C 200.261002 ms.
R 57.456001 ms.
C 200.438004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10875.089844 ms.
e 775.441406 ms.
D 0.378000 ms.
T 0.000000 ms.
E 10880.925781 ms.
e 754.865234 ms.
Quadrado mágico.
R 56.320999 ms.
C 251.251999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10899.009766 ms.
e 796.067383 ms.
R 56.320999 ms.
C 251.210999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10895.953125 ms.
e 805.729492 ms.
R 56.320999 ms.
C 251.272995 ms.
D 0.439000 ms.
T 0.000000 ms.
R 56.320999 ms.
E 10902.201172 ms.
e 811.464844 ms.
C 251.100006 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10896.226562 ms.
e 815.336914 ms.
Quadrado mágico.
R 58.103001 ms.
C 254.615005 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10928.756836 ms.
e 822.383789 ms.
R 58.103001 ms.
C 254.628006 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10927.009766 ms.
e 812.858398 ms.
R 58.103001 ms.
C 254.591995 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10928.500000 ms.
e 826.195312 ms.
R 58.103001 ms.
C 234.533005 ms.
D 0.399000 ms.
T 0.000000 ms.
E 10936.017578 ms.
e 812.821289 ms.
Quadrado mágico.
R 56.903999 ms.
C 254.322006 ms.
D 0.000000 ms.
R 56.904999 ms.
C 254.332001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10939.417969 ms.
e 817.891602 ms.
R 56.904999 ms.
C 254.416000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10937.133789 ms.
T 0.000000 ms.
E 10936.401367 ms.
e 806.878906 ms.
e 819.307617 ms.
R 56.903999 ms.
C 252.729004 ms.
D 0.318000 ms.
T 0.000000 ms.
E 10942.639648 ms.
e 820.060547 ms.
Quadrado mágico.
R 56.570999 ms.
C 268.585022 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10929.545898 ms.
e 797.931641 ms.
R 56.570999 ms.
C 268.486023 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10930.423828 ms.
e 834.002930 ms.
R 56.570999 ms.
C 268.479004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10933.081055 ms.
e 823.061523 ms.
R 56.570999 ms.
C 258.270020 ms.
D 0.361000 ms.
T 0.000000 ms.
E 10936.488281 ms.
e 804.153320 ms.
Quadrado mágico.
R 57.310001 ms.
C 243.080994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10893.298828 ms.
e 817.698242 ms.
R 57.310001 ms.
C 254.273010 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10893.989258 ms.
e 815.850586 ms.
R 57.310001 ms.
C 254.221008 ms.
D 0.401000 ms.
T 0.000000 ms.
E 10900.754883 ms.
e 816.045898 ms.
R 57.310001 ms.
C 254.426025 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10897.767578 ms.
e 790.339844 ms.
Quadrado mágico.
R 57.798000 ms.
C 206.695007 ms.
D 0.000000 ms.
R 57.798000 ms.
C 206.556000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10889.461914 ms.
e 758.849609 ms.
T 0.000000 ms.
E 10889.030273 ms.
e 759.469727 ms.
R 57.798000 ms.
C 200.649002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10892.788086 ms.
e 773.302734 ms.
R 57.798000 ms.
C 206.690002 ms.
D 0.354000 ms.
T 0.000000 ms.
E 10896.254883 ms.
e 773.075195 ms.
Quadrado mágico.
R 56.631001 ms.
C 272.042999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10967.262695 ms.
e 834.082031 ms.
R 56.630001 ms.
C 271.960999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10969.949219 ms.
e 836.291016 ms.
R 56.631001 ms.
C 271.968994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 10967.585938 ms.
e 836.822266 ms.
R 56.631001 ms.
C 270.237000 ms.
D 0.409000 ms.
T 0.000000 ms.
E 10973.972656 ms.
e 825.610352 ms.
Quadrado mágico.
R 57.241001 ms.
C 263.950989 ms.
D 0.000000 ms.
T 0.000000 ms.
E 11275.725586 ms.
e 859.489258 ms.
R 57.240002 ms.
C 263.591003 ms.
D 0.000000 ms.
T 0.000000 ms.
R 57.241001 ms.
C 252.969971 ms.
D 0.000000 ms.
R 57.240002 ms.
C 263.685974 ms.
D 0.378000 ms.
T 0.000000 ms.
E 11278.692383 ms.
e 897.445312 ms.
E 11272.905273 ms.
e 822.327148 ms.
T 0.000000 ms.
E 11273.146484 ms.
e 798.957031 ms.
Quadrado mágico.
R 56.806000 ms.
C 372.625000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 11352.292969 ms.
e 939.531250 ms.
R 56.806000 ms.
C 390.279999 ms.
D 0.000000 ms.
T 0.000000 ms.
R 56.806000 ms.
C 380.635986 ms.
D 0.306000 ms.
T 0.000000 ms.
R 56.806000 ms.
C 390.191986 ms.
